
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
AE_2d_l32_chlk49nfl                      Southern OR / N CA                     0.243    0.200
AE_2d_l32_chlk49sst                      Southern OR / N CA                     0.205    0.184
AE_2d_l32_chlnflsst                      Southern OR / N CA                     0.162    0.115
AE_2d_l32_k49nflsst                      Southern OR / N CA                     0.170    0.125
AE_2d_l32_mae015                         Southern OR / N CA                     0.288    0.219
AE_2d_l32_mae030                         Southern OR / N CA                     0.352    0.276
AE_2d_l32_mae040                         Southern OR / N CA                     0.418    0.338
AE_2d_l32_mae050                         Southern OR / N CA                     0.543    0.443
AE_2d_l32_mae070                         Southern OR / N CA                     1.275    1.025
AE_2d_l4                                 Southern OR / N CA                     0.470    0.360
AE_2d_l64                                Southern OR / N CA                     0.230    0.184
AE_3d_l128_t4                            Southern OR / N CA                     0.241    0.195
AE_3d_l16_t4                             Southern OR / N CA                     0.371    0.303
AE_3d_l32_t4                             Southern OR / N CA                     0.309    0.246
AE_3d_l32_t4_chl                         Southern OR / N CA                     0.107    0.113
AE_3d_l32_t4_chlk49nfl                   Southern OR / N CA                     0.288    0.240
AE_3d_l32_t4_chlk49sst                   Southern OR / N CA                     0.237    0.216
AE_3d_l32_t4_chlnflsst                   Southern OR / N CA                     0.205    0.159
AE_3d_l32_t4_k49nflsst                   Southern OR / N CA                     0.219    0.175
AE_3d_l32_t4_mae015                      Southern OR / N CA                     0.323    0.255
AE_3d_l32_t4_mae030                      Southern OR / N CA                     0.459    0.414
AE_3d_l32_t4_mae040                      Southern OR / N CA                     0.851    0.818
AE_3d_l32_t4_mae050                      Southern OR / N CA                     1.669    2.683
AE_3d_l32_t4_mae070                      Southern OR / N CA                    11.612   15.680
AE_3d_l4_t4                              Southern OR / N CA                     0.519    0.402
AE_3d_l64_t4                             Southern OR / N CA                     0.272    0.217
B1_chla_zscore                           Southern OR / N CA                     0.973    0.751
B2_multivar_zscore                       Southern OR / N CA                     3.894    2.255
B3T_pca_k128_t4                          Southern OR / N CA                     0.263    0.202
B3T_pca_k16_t4                           Southern OR / N CA                     0.447    0.338
B3T_pca_k32_t4                           Southern OR / N CA                     0.367    0.275
B3T_pca_k4_t4                            Southern OR / N CA                     0.678    0.508
B3T_pca_k64_t4                           Southern OR / N CA                     0.308    0.231
B3_pca_k128                              Southern OR / N CA                     0.219    0.171
B3_pca_k16                               Southern OR / N CA                     0.384    0.279
B3_pca_k32                               Southern OR / N CA                     0.310    0.226
B3_pca_k4                                Southern OR / N CA                     0.635    0.480
B3_pca_k64                               Southern OR / N CA                     0.258    0.195

============================================================================================
Pearson correlation matrix (Overall region only)
method                  AE_2d_l128  AE_2d_l16  AE_2d_l32  AE_2d_l32_chl  AE_2d_l32_chlk49nfl  AE_2d_l32_chlk49sst  AE_2d_l32_chlnflsst  AE_2d_l32_k49nflsst  AE_2d_l32_mae015  AE_2d_l32_mae030  \
method                                                                                                                                                                                            
AE_2d_l128                   1.000      0.977      0.992          0.912                0.994                0.951                0.933                0.956             0.988             0.891   
AE_2d_l16                    0.977      1.000      0.994          0.885                0.985                0.941                0.945                0.966             0.993             0.909   
AE_2d_l32                    0.992      0.994      1.000          0.900                0.995                0.952                0.944                0.966             0.996             0.901   
AE_2d_l32_chl                0.912      0.885      0.900          1.000                0.911                0.951                0.830                0.773             0.904             0.839   
AE_2d_l32_chlk49nfl          0.994      0.985      0.995          0.911                1.000                0.957                0.931                0.957             0.992             0.903   
AE_2d_l32_chlk49sst          0.951      0.941      0.952          0.951                0.957                1.000                0.823                0.865             0.953             0.874   
AE_2d_l32_chlnflsst          0.933      0.945      0.944          0.830                0.931                0.823                1.000                0.931             0.940             0.845   
AE_2d_l32_k49nflsst          0.956      0.966      0.966          0.773                0.957                0.865                0.931                1.000             0.960             0.861   
AE_2d_l32_mae015             0.988      0.993      0.996          0.904                0.992                0.953                0.940                0.960             1.000             0.932   
AE_2d_l32_mae030             0.891      0.909      0.901          0.839                0.903                0.874                0.845                0.861             0.932             1.000   
